,1,2,3,4,5,6,7,8,9,10,11,12,13
1531.8,3.90E-02,3.71E-02,3.50E-02,3.17E-02,2.85E-02,2.58E-02,2.39E-02,2.30E-02,2.36E-02,2.49E-02,2.54E-02,2.52E-02,2.53E-02
1529.9,3.94E-02,3.76E-02,3.55E-02,3.20E-02,2.88E-02,2.58E-02,2.37E-02,2.25E-02,2.27E-02,2.36E-02,2.39E-02,2.36E-02,2.37E-02
1528,4.04E-02,3.88E-02,3.65E-02,3.31E-02,2.97E-02,2.67E-02,2.43E-02,2.27E-02,2.26E-02,2.28E-02,2.30E-02,2.29E-02,2.28E-02
1526.1,4.20E-02,4.03E-02,3.79E-02,3.45E-02,3.11E-02,2.83E-02,2.54E-02,2.40E-02,2.34E-02,2.30E-02,2.30E-02,2.28E-02,2.28E-02
1524.1,4.27E-02,4.11E-02,3.88E-02,3.55E-02,3.21E-02,2.93E-02,2.62E-02,2.50E-02,2.42E-02,2.32E-02,2.29E-02,2.26E-02,2.28E-02
1522.2,4.30E-02,4.12E-02,3.91E-02,3.57E-02,3.20E-02,2.91E-02,2.61E-02,2.50E-02,2.43E-02,2.38E-02,2.34E-02,2.33E-02,2.33E-02
1520.3,4.31E-02,4.08E-02,3.87E-02,3.46E-02,3.09E-02,2.81E-02,2.51E-02,2.40E-02,2.36E-02,2.43E-02,2.41E-02,2.41E-02,2.41E-02
1518.3,4.30E-02,4.07E-02,3.83E-02,3.44E-02,3.05E-02,2.74E-02,2.48E-02,2.35E-02,2.35E-02,2.46E-02,2.50E-02,2.49E-02,2.48E-02
1516.4,4.33E-02,4.08E-02,3.80E-02,3.39E-02,3.00E-02,2.64E-02,2.40E-02,2.27E-02,2.33E-02,2.55E-02,2.63E-02,2.64E-02,2.63E-02
1514.5,4.36E-02,4.13E-02,3.85E-02,3.41E-02,3.01E-02,2.66E-02,2.42E-02,2.31E-02,2.39E-02,2.66E-02,2.76E-02,2.76E-02,2.75E-02
1512.6,4.47E-02,4.24E-02,3.95E-02,3.51E-02,3.09E-02,2.76E-02,2.51E-02,2.40E-02,2.52E-02,2.84E-02,2.94E-02,2.95E-02,2.94E-02
1510.6,4.65E-02,4.46E-02,4.13E-02,3.72E-02,3.29E-02,2.96E-02,2.73E-02,2.63E-02,2.78E-02,3.14E-02,3.25E-02,3.28E-02,3.26E-02
